sex,mass,b_cell_area_um2,gut_epithelial_area_um2
M,38.202,2725.0836,3817.802871
M,49.78,1730.887923,4475.275228
M,41.36,2402.582579,5253.273056
F,59.691,1437.534911,5351.179505
M,49.677,1465.312231,4956.491216
M,37.965,2212.424654,3683.196924
F,62.474,3260.218867,5594.810326
M,44.652,1845.367059,4284.422212
F,31.793,1562.30825,3439.939059
F,53.03,1139.712529,4927.63085
M,33.847,1981.328057,3331.565055
F,44.753,1876.7705,3519.816282
M,74.771,1951.43075,6300.513387
F,41.984,1108.568333,3991.031239
M,41.97,1479.893684,3487.525828
F,52.502,1276.807333,4327.257768
F,52.229,1538.02504,3972.094261
M,50.913,1935.529222,4621.216348
F,61.554,1587.215,4333.3504
F,75.585,2963.26072,6177.61708
F,74.856,3104.303508,5327.755168
M,57.23,2752.760375,5205.289968
F,56.142,2917.675,4133.300344
M,39.181,1853.059795,4470.878119
M,58.699,2632.734788,5313.323757
F,57.036,1934.090695,5481.388821
M,45.056,2601.405661,4678.1813
F,64.253,2351.568256,5698.884586
F,60.633,2182.643137,5492.707515
M,39.38,2085.793208,3617.927237
F,52.034,2618.723,4695.017959
F,45.49,1180.061455,4765.545143
F,66.159,3600.686333,5296.181222
F,64.5,3635.09795,5729.555749
M,45.114,2478.822367,4443.6041
M,50.666,1502.782771,4266.525215
M,48.012,1444.465579,3969.947659
M,46.061,1319.30812,4329.514504
M,59.173,1716.695594,4337.504239
F,41.636,2175.065478,4213.518047
M,31.428,1311.76075,3012.707449
F,71.273,3098.650889,4985.426088
M,47.147,1001.919333,4262.66685
F,51.699,2314.706043,4103.603471
F,67.577,1828.425,5206.110749
F,62.441,1910.041822,4969.208976
M,34.714,1444.173,3007.36368
M,55.972,1226.621556,4596.534643
M,51.625,2122.113286,4487.487726
F,50.174,1643.463235,5594.35794
M,51.169,2415.740286,4263.411873
M,76.664,1854.379667,5258.142083
F,48.406,1565.921667,4250.766209
F,35.188,1448.014,3483.252315
M,20.188,446.3511111,1834.267251
M,39.978,1858.089688,4045.281824
M,77.596,1990.078185,5972.279516
F,63.923,1235.329571,5738.907889
F,56.005,2027.730566,4499.94177
M,53.479,1449.473667,4083.172543
F,65.447,2449.458364,6304.082373
F,79.369,2945.037933,7071.718696
M,36.984,1369.4068,3396.364124
F,31.675,2062.780804,3637.617633
F,64.149,2328.903549,4702.515909
F,56.84,1676.047915,5213.283333
F,40.78,1131.004313,2707.192485
M,44.613,2051.110884,4513.951929
M,42.132,1461.097429,3535.829316
F,41.704,1541.123789,2954.694349
M,43.056,1196.525318,4664.558634
M,44.985,2334.522149,4025.186836
F,38.778,1542.793896,3373.966559
M,64.234,2109.694385,6479.327492
F,36.179,1709.618645,3621.282445
F,33.504,1573.887158,3714.025973
F,40.58,1509.775439,3841.804861
F,45.176,2319.225744,3971.260635
M,49.122,1301.348435,3525.402246
M,41.305,1573.103484,3699.363667
M,33.318,1406.296857,2820.24825
M,43.936,925.2876087,4021.26998
M,48.214,1376.8664,3967.550505
M,77.962,1207.078846,6227.353371
F,35.564,869.644963,2834.565881
M,46.93,952.0098,3857.434521
F,71.19,1752.622484,5041.295747
F,29.431,1758.374839,2924.237565
M,54.955,1187.825368,5327.291566
F,42.237,865.7906154,3747.554454
M,53.597,2236.955875,5007.479184
M,49.864,1239.496905,5006.81382
M,40.751,916.457,3426.338803
F,51.258,736.0485968,5362.7251
M,49.174,1198.393065,4574.568517
F,49.275,1618.888587,4328.29046
M,45.667,1065.916,3914.388717
M,41.187,1153.097278,4123.270356
M,47.208,1300.484407,4608.319558
F,38.806,982.2251818,4693.887268
M,50.181,727.5556,3558.52553
M,68.18,1789.887962,4963.204609
M,84.375,2261.1196,7170.933933
M,27.103,588.5547273,2649.858837
F,49.879,1602.854,4336.359365
M,68.067,1619.568581,4673.264021
M,41.364,1325.478635,4369.938443
F,37.116,900.2949355,2815.470159
M,59.087,1349.200672,5703.915924
M,56.668,2720.302483,5401.535104
M,36.354,814.389,3094.881098
