Time,OD
0,0.116
10,0.115
20,0.116
30,0.116
40,0.117
50,0.118
60,0.119
70,0.121
80,0.122
90,0.123
100,0.123
110,0.124
120,0.123
130,0.122
140,0.122
150,0.121
160,0.12
170,0.119
180,0.118
190,0.118
200,0.117
210,0.117
220,0.116
230,0.116
240,0.116
250,0.115
260,0.115
270,0.114
280,0.115
290,0.115
300,0.114
310,0.115
320,0.114
330,0.114
340,0.114
350,0.114
360,0.114
370,0.114
380,0.114
390,0.114
400,0.114
410,0.114
420,0.114
430,0.114
440,0.114
450,0.114
460,0.114
470,0.114
480,0.114
490,0.114
500,0.114
510,0.113
520,0.114
530,0.114
540,0.113
550,0.114
560,0.113
570,0.113
580,0.114
590,0.113
600,0.113
610,0.113
620,0.113
630,0.113
640,0.113
650,0.113
660,0.113
670,0.113
680,0.113
690,0.113
700,0.113
710,0.113
720,0.113
730,0.113
740,0.113
750,0.113
760,0.113
770,0.113
780,0.114
790,0.113
800,0.113
810,0.113
820,0.113
830,0.113
840,0.113
850,0.113
860,0.113
870,0.113
880,0.113
890,0.114
900,0.113
910,0.113
920,0.114
930,0.113
940,0.113
950,0.114
960,0.114
