Time,OD
0,0.119
10,0.119
20,0.119
30,0.119
40,0.119
50,0.119
60,0.119
70,0.12
80,0.12
90,0.121
100,0.121
110,0.122
120,0.122
130,0.123
140,0.124
150,0.124
160,0.125
170,0.127
180,0.128
190,0.129
200,0.13
210,0.131
220,0.133
230,0.134
240,0.136
250,0.137
260,0.139
270,0.142
280,0.144
290,0.147
300,0.149
310,0.152
320,0.155
330,0.158
340,0.162
350,0.166
360,0.17
370,0.174
380,0.177
390,0.181
400,0.185
410,0.191
420,0.196
430,0.202
440,0.208
450,0.215
460,0.221
470,0.225
480,0.228
490,0.231
500,0.234
510,0.236
520,0.241
530,0.246
540,0.252
550,0.259
560,0.266
570,0.275
580,0.286
590,0.296
600,0.308
610,0.318
620,0.329
630,0.339
640,0.347
650,0.355
660,0.361
670,0.366
680,0.371
690,0.375
700,0.379
710,0.383
720,0.388
730,0.391
740,0.395
750,0.398
760,0.4
770,0.403
780,0.405
790,0.407
800,0.41
810,0.412
820,0.415
830,0.417
840,0.42
850,0.421
860,0.424
870,0.427
880,0.43
890,0.433
900,0.435
910,0.438
920,0.44
930,0.441
940,0.443
950,0.445
960,0.446
