Time,OD
0,0.12
10,0.119
20,0.12
30,0.121
40,0.122
50,0.123
60,0.124
70,0.126
80,0.128
90,0.131
100,0.135
110,0.139
120,0.145
130,0.151
140,0.158
150,0.166
160,0.175
170,0.187
180,0.201
190,0.214
200,0.224
210,0.238
220,0.253
230,0.272
240,0.284
250,0.297
260,0.311
270,0.323
280,0.338
290,0.354
300,0.371
310,0.387
320,0.403
330,0.422
340,0.432
350,0.437
360,0.441
370,0.445
380,0.449
390,0.452
400,0.454
410,0.457
420,0.457
430,0.459
440,0.46
450,0.461
460,0.463
470,0.464
480,0.465
490,0.467
500,0.468
510,0.469
520,0.47
530,0.471
540,0.472
550,0.473
560,0.473
570,0.475
580,0.476
590,0.477
600,0.478
610,0.479
620,0.48
630,0.48
640,0.48
650,0.481
660,0.482
670,0.482
680,0.482
690,0.483
700,0.483
710,0.484
720,0.485
730,0.485
740,0.485
750,0.485
760,0.486
770,0.486
780,0.486
790,0.487
800,0.487
810,0.487
820,0.487
830,0.488
840,0.488
850,0.488
860,0.488
870,0.489
880,0.489
890,0.489
900,0.489
910,0.489
920,0.489
930,0.49
940,0.489
950,0.489
960,0.489
