Time,OD
0,0.119
10,0.119
20,0.119
30,0.119
40,0.119
50,0.12
60,0.12
70,0.121
80,0.121
90,0.121
100,0.122
110,0.122
120,0.123
130,0.123
140,0.125
150,0.125
160,0.125
170,0.126
180,0.126
190,0.127
200,0.128
210,0.128
220,0.129
230,0.13
240,0.13
250,0.131
260,0.131
270,0.132
280,0.132
290,0.133
300,0.133
310,0.134
320,0.135
330,0.135
340,0.135
350,0.136
360,0.136
370,0.137
380,0.137
390,0.137
400,0.137
410,0.138
420,0.137
430,0.137
440,0.138
450,0.138
460,0.139
470,0.138
480,0.138
490,0.138
500,0.138
510,0.139
520,0.139
530,0.139
540,0.138
550,0.139
560,0.138
570,0.139
580,0.138
590,0.138
600,0.138
610,0.137
620,0.138
630,0.138
640,0.137
650,0.137
660,0.137
670,0.136
680,0.136
690,0.135
700,0.135
710,0.135
720,0.134
730,0.134
740,0.134
750,0.133
760,0.133
770,0.132
780,0.132
790,0.132
800,0.131
810,0.131
820,0.13
830,0.13
840,0.13
850,0.129
860,0.129
870,0.128
880,0.128
890,0.128
900,0.127
910,0.127
920,0.127
930,0.127
940,0.126
950,0.126
960,0.126
