Time,OD
0,0.121
10,0.121
20,0.122
30,0.121
40,0.121
50,0.121
60,0.121
70,0.121
80,0.121
90,0.121
100,0.12
110,0.121
120,0.121
130,0.12
140,0.12
150,0.121
160,0.12
170,0.12
180,0.12
190,0.12
200,0.12
210,0.12
220,0.121
230,0.121
240,0.121
250,0.12
260,0.12
270,0.121
280,0.12
290,0.121
300,0.12
310,0.121
320,0.121
330,0.121
340,0.121
350,0.121
360,0.121
370,0.121
380,0.121
390,0.121
400,0.121
410,0.121
420,0.121
430,0.121
440,0.12
450,0.121
460,0.12
470,0.12
480,0.12
490,0.121
500,0.121
510,0.12
520,0.121
530,0.121
540,0.12
550,0.12
560,0.12
570,0.12
580,0.121
590,0.121
600,0.12
610,0.12
620,0.12
630,0.12
640,0.12
650,0.12
660,0.12
670,0.121
680,0.12
690,0.121
700,0.121
710,0.12
720,0.121
730,0.121
740,0.121
750,0.121
760,0.12
770,0.12
780,0.121
790,0.12
800,0.12
810,0.121
820,0.12
830,0.121
840,0.12
850,0.12
860,0.12
870,0.121
880,0.121
890,0.121
900,0.12
910,0.121
920,0.121
930,0.121
940,0.121
950,0.121
960,0.121
