Time,OD
0,0.119
10,0.118
20,0.118
30,0.119
40,0.119
50,0.12
60,0.121
70,0.123
80,0.124
90,0.126
100,0.128
110,0.13
120,0.133
130,0.135
140,0.137
150,0.14
160,0.142
170,0.144
180,0.146
190,0.145
200,0.144
210,0.141
220,0.138
230,0.136
240,0.133
250,0.131
260,0.13
270,0.129
280,0.128
290,0.127
300,0.126
310,0.126
320,0.125
330,0.124
340,0.124
350,0.123
360,0.123
370,0.123
380,0.122
390,0.122
400,0.121
410,0.121
420,0.121
430,0.12
440,0.121
450,0.12
460,0.12
470,0.12
480,0.12
490,0.119
500,0.119
510,0.119
520,0.119
530,0.119
540,0.119
550,0.119
560,0.118
570,0.119
580,0.119
590,0.119
600,0.118
610,0.118
620,0.119
630,0.119
640,0.118
650,0.118
660,0.118
670,0.118
680,0.118
690,0.118
700,0.118
710,0.118
720,0.118
730,0.118
740,0.118
750,0.118
760,0.118
770,0.118
780,0.119
790,0.118
800,0.118
810,0.118
820,0.118
830,0.118
840,0.118
850,0.118
860,0.118
870,0.118
880,0.118
890,0.118
900,0.118
910,0.118
920,0.118
930,0.118
940,0.118
950,0.118
960,0.118
